OBJECTID;LAND;BEZ;LOR;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
4102;11;4;4051551;4501148;2020;1;16;4;3;3;6;2;0;1;0;0;1;0;0;792914,251;5823111,335;13,31401653;52,47937611
4114;11;7;7050501;7501030;2020;1;5;3;3;5;2;2;0;1;0;0;0;0;1;797882,9324;5820434,632;13,38457459;52,45269491
4131;11;4;4010101;4100101;2020;1;6;3;3;2;6;2;0;1;0;0;0;0;0;791221,506;5829708,595;13,29493447;52,5394255
4150;11;7;7050501;7501030;2020;1;10;3;2;5;3;0;0;1;0;0;0;0;0;797936,838;5820057,136;13,38502877;52,44928169
4178;11;11;11041022;11401032;2020;1;9;4;3;5;3;0;1;1;0;0;0;0;0;805652,1458;5827389,902;13,50492813;52,51074273
4189;11;9;9010201;9100202;2020;1;7;3;3;5;3;1;1;1;0;0;0;0;1;803111,5605;5824551,75;13,46502433;52,48672236
4206;11;4;4020310;4200308;2020;1;18;1;3;2;6;2;0;1;0;0;0;0;0;790506,4651;5827523,263;13,28251145;52,52021565
4215;11;5;5020628;5200633;2020;1;16;5;3;3;6;2;0;0;0;1;0;1;0;784056,7082;5826570,292;13,18689744;52,5150694
4232;11;6;6030503;6300526;2020;1;16;6;2;6;2;2;0;1;1;0;0;0;1;789697,6317;5817950,679;13,26230773;52,43482496
4253;11;9;9010202;9100203;2020;1;18;2;3;5;3;2;0;1;0;0;0;0;0;804104,3833;5824364,861;13,47943026;52,48449525
4264;11;9;9010202;9100203;2020;1;12;2;3;5;3;0;1;1;0;0;0;0;0;804103,5957;5824364,164;13,47941806;52,48448944
4280;11;10;10030726;10300733;2020;1;12;6;2;5;2;0;0;1;0;0;0;0;0;809494,243;5827393,043;13,56136496;52,50860475
4289;11;1;1033203;1300836;2020;1;10;5;3;3;6;0;0;1;0;0;1;0;0;796268,0308;5830274,135;13,36963169;52,54177478
4293;11;5;5020524;5200528;2020;1;0;1;3;5;2;2;1;1;0;0;0;0;0;783509,2175;5826705,609;13,17896627;52,51656757
4306;11;1;1011303;1100310;2020;2;0;7;3;5;2;2;0;1;0;0;0;0;0;799577,585;5828291,2;13,41650018;52,52219145
4308;11;1;1044102;1400940;2020;1;22;5;3;0;1;2;0;0;0;1;0;0;1;795879,5083;5832054,846;13,36550618;52,55794822
4320;11;7;7010104;7100206;2020;1;11;5;3;2;6;0;0;1;0;0;0;0;0;796007,5869;5824799,517;13,36093162;52,49284138
4340;11;6;6030605;6300629;2020;1;22;6;3;1;7;2;1;1;0;0;0;0;0;791476,1743;5819079,501;13,28938045;52,44400008
4364;11;2;2020201;2200207;2020;1;18;4;3;2;6;2;0;1;0;0;0;0;0;797146,8341;5825586,831;13,37836475;52,49927984
4368;11;7;7050502;7501133;2020;1;20;5;3;5;3;2;0;1;0;0;0;0;1;798153,95;5819054,333;13,3873192;52,4401743
4380;11;7;7050501;7501029;2020;1;6;6;3;6;2;2;0;1;1;0;0;0;1;797789,6512;5818931,35;13,38186602;52,43927037
4396;11;10;10010204;10100206;2020;1;18;4;3;5;2;2;0;1;0;0;0;0;1;808900,4403;5833405,518;13,55823167;52,56282336
4424;11;3;3061434;3601451;2020;1;7;4;2;5;3;2;1;0;0;0;0;1;1;800847,9871;5830332,43;13,43701537;52,53978795
4443;11;1;1044102;1400940;2020;1;17;1;3;5;3;2;1;1;0;0;0;0;0;795877,1448;5832069,085;13,36548411;52,55807714
4447;11;12;12103218;12100205;2020;1;14;5;3;2;6;0;0;1;0;0;0;0;1;794473,9187;5834325,969;13,34684894;52,57906894
4458;11;4;4010101;4100101;2020;1;10;4;3;5;3;0;0;1;0;0;1;0;0;791137,5948;5829407,026;13,2934365;52,53676681
4474;11;9;9010202;9100203;2020;1;8;3;3;5;3;0;1;1;0;0;0;0;1;804104,6469;5824365,095;13,47943434;52,4844972
4501;11;7;7030303;7300619;2020;1;16;3;3;2;2;2;0;1;0;0;0;0;1;796051,7141;5822750,978;13,35976037;52,474454
4512;11;2;2050602;2500728;2020;1;13;3;2;0;2;0;1;1;0;0;0;0;1;802985,8678;5827645,633;13,46599365;52,51452225
4528;11;4;4020313;4200311;2020;1;12;1;3;2;6;0;0;1;0;0;0;0;1;790551,987;5826399,65;13,28219929;52,51011815
4534;11;10;10030726;10300733;2020;1;11;3;3;3;6;0;0;1;0;0;1;0;1;809639,0283;5827328,981;13,56343189;52,5079485
4551;11;2;2040703;2400625;2020;1;6;2;3;6;4;1;0;1;1;0;0;0;0;801817,6203;5826368,503;13,44767223;52,50372295
4560;11;6;6040701;6400735;2020;1;11;6;3;5;7;0;0;1;0;0;0;0;0;778605,6235;5814904,392;13,0970364;52,4132711
4577;11;7;7040405;7400927;2020;1;0;2;3;9;1;2;0;1;0;0;0;0;0;799446,9796;5821501,14;13,40847871;52,46140018
4588;11;1;1044201;1401044;2020;1;19;1;3;5;2;1;0;1;0;0;0;0;0;796044,9982;5831344,676;13,36730684;52,55149233
4612;11;4;4020314;4200311;2020;1;8;4;3;2;6;0;0;1;0;0;0;0;0;790489,327;5825306,224;13,28032454;52,50034887
4616;11;3;3040614;3400723;2020;1;16;7;3;6;2;2;0;1;1;0;0;0;0;798381,4425;5833466,281;13,40357185;52,5692346
4632;11;4;4010102;4100101;2020;1;15;5;3;5;3;0;0;1;0;0;0;1;0;793134,0819;5829626,783;13,32298198;52,53766662
4649;11;12;12103117;12100101;2020;1;22;6;3;5;7;2;0;1;0;0;0;0;1;795812,508;5832344,089;13,36477857;52,56057739
4661;11;12;12301204;12500927;2020;1;12;5;3;3;6;0;0;1;0;1;0;0;0;793378,9984;5836342,536;13,33252244;52,5977376
4685;11;10;10040830;10400837;2020;1;5;4;3;2;6;2;0;1;0;0;0;0;0;810999,3697;5827105,308;13,58320199;52,50517035
4689;11;7;7040402;7400822;2020;1;17;5;3;2;6;2;0;1;0;0;0;0;1;796560,8915;5822517,871;13,36702781;52,47208819
4701;11;6;6010209;6100209;2020;1;8;5;2;9;1;0;0;1;0;0;0;0;1;794128,4526;5821299,813;13,33024664;52,46248404
4716;11;4;4020209;4200206;2020;1;20;3;3;6;4;2;0;1;1;0;0;0;0;788954,0554;5826128,354;13,25848409;52,5085347
4725;11;4;4010101;4100101;2020;1;14;6;3;3;6;0;0;1;0;1;0;0;0;791468,7552;5830484,124;13,29925021;52,54624577
4741;11;10;10010309;10100312;2020;1;7;5;2;1;1;2;0;1;0;0;1;0;0;807957,9969;5828826,832;13,54012794;52,52232363
4769;11;1;1011303;1100310;2020;1;12;5;3;2;1;0;0;1;0;0;1;0;1;799545,6875;5828285,532;13,41602635;52,52215817
4781;11;2;2010101;2100101;2020;1;20;4;3;6;2;2;0;1;1;0;0;0;1;796879,0593;5825995,515;13,37479602;52,50308901
4798;11;5;5020524;5200528;2020;1;7;3;3;2;6;2;0;1;0;0;0;1;0;783495,7136;5826690,339;13,17875479;52,51643767
4823;11;1;1044201;1401044;2020;1;17;3;3;6;3;2;0;1;1;0;0;0;1;796065,3622;5831323,519;13,36758744;52,5512916
4824;11;2;3061435;3601452;2020;10;1;7;2;5;2;2;1;1;0;0;0;0;1;801664,1866;5828909,908;13,4477226;52,52658663
4826;11;2;2040503;2400522;2020;4;22;4;3;1;5;2;0;1;0;0;0;1;1;801518,2306;5827796,149;13,44456805;52,51668464
4827;11;7;7050502;7501133;2020;9;13;5;3;2;7;0;0;1;0;0;0;0;0;797431,8874;5817774,374;13,37558903;52,42909385
4828;11;3;3010101;3100101;2020;11;6;2;3;2;6;2;0;1;0;0;0;1;1;803121,4027;5840228,356;13,47948482;52,62722172
4829;11;12;12302212;12601032;2020;5;15;1;3;2;6;0;0;1;0;0;0;0;0;792750,5672;5837395,425;13,32420191;52,60751483
4830;11;3;3061434;3601451;2020;8;7;3;3;5;3;0;1;1;0;0;0;0;0;800711,1136;5829858,845;13,43457473;52,53561866
4831;11;1;1033203;1300836;2020;6;16;4;3;3;6;0;1;1;0;0;0;0;0;796294,8156;5830120,543;13,36988851;52,54038342
4832;11;5;5020628;5200633;2020;5;19;5;2;6;7;0;0;1;1;0;0;0;0;783962,5979;5826593,704;13,18553429;52,51532832
4833;11;4;4030417;4300414;2020;4;19;4;3;3;5;1;1;1;0;0;0;0;1;791674,8849;5826584,541;13,29886025;52,51117642
4834;11;7;7050506;7501135;2020;9;14;4;3;3;6;0;0;0;0;1;0;1;0;798889,8107;5817201,792;13,39645684;52,4231668
4835;11;2;2040701;2400521;2020;12;14;6;3;3;6;0;0;1;0;1;0;0;0;800433,56;5827896,455;13,4287219;52,51818229
4836;11;7;7010104;7100205;2020;8;14;4;3;0;7;0;0;0;0;1;0;1;0;796034,0047;5825281,231;13,36174766;52,4971452
4837;11;7;7050501;7501030;2020;6;22;6;3;2;7;2;0;1;0;0;0;0;0;797917,4477;5820162,427;13,38483821;52,45023607
4838;11;4;4030623;4300622;2020;10;14;1;3;0;6;0;0;1;0;0;0;0;1;792816,1339;5826754,96;13,31577878;52,51209274
4840;11;2;2050602;2500727;2020;4;16;4;3;6;4;0;1;0;1;0;0;0;0;802168,4432;5827780,757;13,45410718;52,51618682
4841;11;4;4020310;4200308;2020;11;17;4;3;2;6;2;0;1;0;0;0;0;0;790554,7874;5827382,761;13,2830989;52,51893029
4842;11;1;1011105;1100102;2020;9;17;3;3;5;2;0;1;1;0;0;0;0;0;796419,84;5826326,476;13,36834502;52,50630542
4843;11;12;12103115;12100103;2020;8;17;2;3;2;6;0;0;1;0;1;0;0;0;795498,4918;5833358,547;13,36106337;52,56984154
4844;11;4;4030417;4300414;2020;4;9;4;3;5;3;0;0;1;0;0;0;0;1;791566,7284;5826544,984;13,2972364;52,51087962
4845;11;3;3040818;3400830;2020;10;11;6;2;5;7;0;1;1;0;0;0;0;1;800030,4804;5833375,779;13,42774802;52,56751703
4846;11;4;4030621;4300620;2020;8;16;4;3;5;2;0;1;1;0;0;0;0;0;793992,2395;5826975,018;13,3332539;52,51343282
4847;11;1;1011303;1100310;2020;7;23;4;3;2;6;2;0;1;0;0;0;1;1;799810,2834;5828641,433;13,42023536;52,52520283
4848;11;4;4051551;4501148;2020;6;10;6;2;8;1;0;0;0;0;1;0;0;0;792602,834;5823387,031;13,30968606;52,48201461
4849;11;10;10010309;10100312;2020;11;5;5;2;3;6;2;1;0;0;1;0;0;0;807731,0944;5829357,301;13,53728504;52,52720576
4850;11;1;1011202;1100206;2020;4;7;4;3;3;6;0;1;1;0;0;0;0;0;797704,1638;5827610,702;13,38836072;52,51711768
4851;11;7;7060601;7601236;2020;9;15;5;3;6;4;0;0;1;1;0;0;0;0;796604,0224;5816011,462;13,36188566;52,41374014
4852;11;2;2020202;2200208;2020;12;20;3;3;5;2;2;1;1;0;0;0;0;0;797898,3103;5825432,668;13,38926438;52,49748826
4853;11;12;12103218;12100205;2020;6;19;2;3;6;2;0;0;1;1;0;0;0;0;794572,1055;5833820,832;13,34784496;52,57448766
4855;11;4;4041134;4400726;2020;4;13;3;3;2;7;0;0;1;0;0;0;1;0;790822,4315;5824757,232;13,28473853;52,49524971
4856;11;3;3061435;3601452;2020;9;20;5;3;5;2;2;1;1;0;0;0;0;0;801479,8672;5829153,473;13,44523473;52,52887167
4857;11;12;12304314;12500824;2020;7;11;7;2;0;7;0;0;1;0;0;0;0;0;790337,4307;5835576,266;13,28707127;52,59250061
4858;11;2;2020201;2200207;2020;4;23;3;3;3;6;2;0;1;0;0;0;0;1;796862,6714;5826007,712;13,37456616;52,50320726
4859;11;7;7050502;7501133;2020;10;18;5;3;0;3;1;1;1;0;0;0;0;1;798226,7859;5818766,709;13,38813093;52,43755635
4860;11;7;7040405;7400927;2020;12;12;4;3;2;6;0;0;1;0;0;0;0;0;798511,3101;5822073,036;13,39525933;52,46703845
4861;11;3;3020209;3200205;2020;5;15;7;3;1;5;0;0;1;0;0;0;1;0;798176,2051;5836287,163;13,40309044;52,59463211
4862;11;5;5020628;5200633;2020;8;11;7;3;6;4;0;0;0;1;1;0;0;0;784241,603;5826521,15;13,18957283;52,51453246
4863;11;6;6030503;6300527;2020;7;16;4;3;2;6;0;0;1;0;0;0;0;0;789839,2649;5818030,566;13,26445457;52,43546614
4864;11;3;3010104;3100101;2020;5;15;1;2;3;6;0;0;1;0;1;0;0;0;799542,7308;5840751,491;13,42724663;52,63389582
4865;11;12;12103218;12100205;2020;10;14;4;3;5;3;0;0;1;0;0;0;0;0;794559,2369;5833818,208;13,34765328;52,5744711
4866;11;3;3040513;3400620;2020;4;10;3;3;2;6;0;0;1;0;0;0;0;0;798049,319;5833886,563;13,39906373;52,57318377
4867;11;3;3050925;3500936;2020;9;6;2;3;2;6;1;0;1;0;0;0;0;0;801713,067;5831309,7;13,45061974;52,54806894
4868;11;7;7030303;7300619;2020;11;10;2;3;2;6;0;0;1;0;0;0;1;0;795885,8648;5822668,164;13,35725223;52,47380151
4869;11;2;2010101;2100101;2020;5;18;7;3;5;3;0;1;1;0;0;0;0;0;797886,2514;5825492,013;13,38914034;52,4980268
4870;11;12;12103115;12100103;2020;8;18;6;3;5;2;0;1;1;0;0;0;0;0;795412,2399;5833586,44;13,35999744;52,5719312
4871;11;7;7040401;7400720;2020;6;3;1;3;3;6;2;0;1;0;0;0;0;1;797777,0961;5823831,916;13,38605362;52,48320552
4872;11;1;1033203;1300836;2020;4;8;3;3;5;2;0;1;1;0;0;0;0;0;796184,661;5830195,038;13,36833544;52,54111107
4873;11;6;6040701;6400735;2020;10;11;7;3;2;2;0;0;1;0;1;0;0;0;783805,6945;5815979,597;13,17419967;52,42024051
4874;11;6;6030503;6300526;2020;12;6;5;3;5;3;2;1;1;0;0;0;0;0;789689,9835;5817964,239;13,26220729;52,43495058
4875;11;7;7040405;7400927;2020;8;15;2;3;2;6;0;0;1;0;0;0;0;0;799037,7212;5821760,718;13,40270548;52,46395107
4876;11;7;7050501;7501030;2020;7;8;5;3;2;6;0;0;1;0;0;0;0;0;798102,2202;5819257,932;13,38674203;52,44202754
4877;11;2;2050602;2500727;2020;4;7;3;3;5;3;0;1;1;0;0;0;0;0;802119,8959;5828034,867;13,45362467;52,5184913
4878;11;1;1011204;1100207;2020;10;10;5;3;3;6;0;0;1;0;1;0;0;0;798793,7675;5827185,551;13,40398898;52,51271094
4880;11;12;12231101;12400723;2020;4;12;2;3;2;2;0;0;1;0;0;0;0;0;792115,585;5837979,881;13,31536758;52,6130958
4881;11;10;10040933;10400940;2020;9;9;3;3;5;2;0;1;1;0;0;0;0;0;813060,6141;5827191,634;13,61355311;52,50476522
4882;11;4;4020313;4200311;2020;11;11;2;2;8;1;0;1;0;0;0;0;0;0;790521,6501;5826375,946;13,28173285;52,5099218
4883;11;7;7020203;7200411;2020;9;0;7;3;1;5;2;1;1;0;0;0;0;0;795946,0422;5824441,309;13,35970961;52,48966372
4884;11;8;8020620;8200624;2020;5;19;7;3;2;6;0;0;1;0;0;0;0;0;800961,9432;5821652,102;13,43084597;52,46192107
4885;11;7;7040401;7400720;2020;8;16;1;3;2;6;0;0;1;0;0;0;0;0;797776,4448;5823843,88;13,38605474;52,48331311
4886;11;1;1011102;1100102;2020;6;18;3;3;2;6;0;0;1;0;1;0;0;0;795871,3875;5827292,821;13,36114698;52,51526557
4887;11;6;6040701;6400735;2020;4;18;1;2;0;1;0;1;0;0;0;0;0;0;782907,67;5815862,932;13,1609308;52,41965943
4888;11;1;1011303;1100310;2020;9;12;2;3;2;6;0;0;1;0;0;0;0;0;799813,3778;5828646,296;13,42028521;52,52524472
4889;11;7;7050501;7501030;2020;12;6;4;3;2;6;2;0;1;0;1;0;0;1;797990,941;5819808,341;13,38560059;52,44702202
4890;11;1;1044203;1401049;2020;8;13;3;3;3;6;0;1;1;0;0;0;0;0;795975,9951;5831511,31;13,36644065;52,55302354
4891;11;3;3071639;3701660;2020;6;12;4;3;1;5;0;1;1;0;0;0;0;0;800300,8807;5829451,868;13,42817699;52,53219701
4893;11;6;6040804;6400838;2020;4;10;6;3;2;6;0;0;1;0;1;0;0;0;787208,2162;5817237,592;13,22517713;52,42974441
4894;11;4;4030417;4300414;2020;11;6;2;3;5;2;0;0;1;0;0;0;0;0;791027,762;5826458,485;13,28924145;52,51039198
4895;11;4;4010101;4100101;2020;9;14;1;3;2;6;0;0;1;0;0;0;0;0;790800,3186;5828918,243;13,28805012;52,53256497
4896;11;3;3061126;3601139;2020;8;15;7;2;5;2;0;1;1;0;0;0;0;0;799238,4705;5831932,292;13,41479592;52,55501441
4897;11;7;7030303;7300619;2020;4;15;5;2;5;7;0;0;1;0;0;0;0;0;795625,5644;5823228,334;13,35392759;52,47896396
4898;11;6;6040702;6400736;2020;10;16;4;3;9;1;1;0;1;0;0;0;0;1;785430,6999;5816070,112;13,19810794;52,42020694
4899;11;3;3020209;3200205;2020;8;9;3;3;0;7;0;1;0;0;0;0;0;1;798166,0935;5836125,754;13,4027963;52,59319086
4900;11;3;3040513;3400620;2020;7;7;2;3;5;2;0;0;1;0;0;0;1;0;798027,9132;5833803,497;13,39867415;52,57245093
4901;11;7;7040403;7400825;2020;6;8;4;3;2;6;0;0;1;0;0;0;0;0;797813,2154;5821021,354;13,38407497;52,45799223
4902;11;4;4030416;4300413;2020;11;8;3;3;2;6;0;0;1;0;1;0;0;0;790708,8282;5827081,864;13,2850998;52,51615065
4903;11;7;7070701;7601442;2020;4;15;5;3;5;7;0;1;1;0;0;0;0;0;799185,7661;5816433,13;13,40010893;52,41611495
4904;11;2;2040503;2400522;2020;9;16;4;3;5;3;0;1;0;0;1;0;0;0;801911,1492;5827755,762;13,4503043;52,51610528
4905;11;1;1011104;1100104;2020;11;17;1;3;4;6;2;0;1;0;0;0;0;0;796280,4701;5825998,857;13,36600606;52,50344432
4906;11;7;7040406;7400928;2020;6;19;6;3;2;6;2;0;1;0;0;0;0;0;800243,6561;5821544,799;13,42020885;52,46135439
4907;11;1;1011303;1100310;2020;4;17;5;3;5;2;0;1;1;0;0;0;0;0;799099,778;5827681,45;13,40893058;52,51698823
4908;11;2;2020202;2200208;2020;9;18;3;3;4;6;0;1;0;0;0;0;1;0;797910,4423;5825127,833;13,38916994;52,49474915
4909;11;4;4020209;4200207;2020;7;15;5;3;2;6;0;0;1;0;0;0;0;0;789749,0155;5824741,154;13,26895749;52,49567649
